Year,Average Sale Price(year),Yearly Change
1/1/1963,19375,
1/1/1964,20300,4.8
1/1/1965,21450,5.7
1/1/1966,22925,6.9
1/1/1967,24125,5.2
1/1/1968,26425,9.5
1/1/1969,27725,4.9
1/1/1970,26650,-3.9
1/1/1971,28100,5.4
1/1/1972,30075,7.0
1/1/1973,35100,16.7
1/1/1974,38725,10.3
1/1/1975,42525,9.8
1/1/1976,48050,13.0
1/1/1977,54350,13.1
1/1/1978,62700,15.4
1/1/1979,71900,14.7
1/1/1980,76375,6.2
1/1/1981,83175,8.9
1/1/1982,83850,0.8
1/1/1983,89775,7.1
1/1/1984,97550,8.7
1/1/1985,100825,3.4
1/1/1986,112075,11.2
1/1/1987,127575,13.8
1/1/1988,138650,8.7
1/1/1989,148125,6.8
1/1/1990,149075,0.6
1/1/1991,147275,-1.2
1/1/1992,144675,-1.8
1/1/1993,147475,1.9
1/1/1994,154175,4.5
1/1/1995,157750,2.3
1/1/1996,165525,4.9
1/1/1997,174875,5.6
1/1/1998,181150,3.6
1/1/1999,194675,7.5
1/1/2000,205375,5.5
1/1/2001,211050,2.8
1/1/2002,226700,7.4
1/1/2003,244550,7.9
1/1/2004,272125,11.3
1/1/2005,291275,7.0
1/1/2006,303900,4.3
1/1/2007,309800,1.9
1/1/2008,289075,-6.7
1/1/2009,269350,-6.8
1/1/2010,272025,1.0
1/1/2011,264600,-2.7
1/1/2012,288225,8.9
1/1/2013,321650,11.6
1/1/2014,345450,7.4
1/1/2015,350450,1.4
1/1/2016,359650,2.6
1/1/2017,381150,6.0
1/1/2018,382475,0.3
1/1/2019,379875,-0.7
1/1/2020,389800,2.6
1/1/2021,457375,17.3
1/1/2022,535500,17.1
1/1/2023,507233.3333,-5.3
